trade_date,Binance_Coin LogReturn,Bitcoin LogReturn,Bitcoin_Cash LogReturn,Bitcoin_SV LogReturn,Cardano LogReturn,Chainlink LogReturn,Crypto_com_Coin LogReturn,EOS LogReturn,Ethereum LogReturn,Huobi_Token LogReturn,Litecoin LogReturn,Monero LogReturn,NEO LogReturn,Stellar LogReturn,Tether LogReturn,Tezos LogReturn,TRON LogReturn,UNUS_SED_LEO LogReturn,USD_Coin LogReturn,XRP LogReturn,Binance_Coin Volume,Bitcoin Volume,Bitcoin_Cash Volume,Bitcoin_SV Volume,Cardano Volume,Chainlink Volume,Crypto_com_Coin Volume,EOS Volume,Ethereum Volume,Huobi_Token Volume,Litecoin Volume,Monero Volume,NEO Volume,Stellar Volume,Tether Volume,Tezos Volume,TRON Volume,UNUS_SED_LEO Volume,USD_Coin Volume,XRP Volume
2019-11-12,0.03562,0.00659,0.00722,0.00076,0.01318,0.02514,0.00325,0.00866,0.00725,-0.00261,-0.00909,0.00531,0.0841,-0.0349,0,-0.00851,0.02676,0.00089,0,-0.00975,11107591,2311415,6386183,3664799,1828869263,53352154,525212811,694054345,41856346,19717159,54099387,3037140,58537276,4586038934,23449537112,20077566,52533389305,12162982,231927404,5131528862
2019-11-13,0.01852,-0.00084,-0.00955,-0.0179,-0.0063,0.06852,-0.00596,0,0.00757,0.01042,-0.00376,0.04813,0.08289,-0.00646,0,-0.03479,0.02512,-0.01594,0,0.00227,11982719,1991130,5404703,3511105,970276487,71699351,497126135,525326087,39153152,19619121,50535734,3267172,50468445,3128307326,20071939197,20357251,49629738012,10404716,221641563,4689386639
2019-11-14,0.00047,-0.01144,-0.02449,-0.02177,-0.00861,0.01316,0.06152,-0.01739,-0.01208,-0.01567,-0.02788,0.00321,-0.03704,-0.02427,0.00995,0.07663,-0.03049,-0.00027,0.00995,-0.00973,11197000,2179076,6484730,4184509,1230679567,65392129,592320987,500965726,42070563,56234990,50444243,3114430,41979932,2868685797,21802158436,35726254,50610582858,10303914,205695939,4653718656
2019-11-15,-0.04522,-0.02513,-0.05458,-0.02354,0.01963,-0.00656,-0.03865,-0.02367,-0.02991,-0.04027,-0.02764,-0.05617,-0.05411,-0.03271,-0.00995,-0.04185,-0.0468,0.00233,-0.00995,-0.03285,10848041,2534505,7050393,4029403,1873697657,51693506,945211993,609049154,48104761,63471032,54518570,2341339,39894051,3019711358,25165567734,26948421,51802423491,12202682,216304918,5820001500
2019-11-16,-0.00197,0.0069,0.01123,0.00491,0.00449,-0.00992,-0.01022,0.02074,0.01556,0.00274,0.01306,0.00081,0.03426,-0.00595,0.00995,-0.00858,0.00946,0.0119,0.00995,0.00849,10394914,1935766,5566938,3591212,1401791255,31673787,379662809,434499300,37320406,61195845,48836456,2706059,34539512,2404251870,18135228768,22909037,47281208628,9227942,195289529,4548972109
2019-11-17,-0.00099,0.00318,0.00388,-0.0008,0.02788,-0.02694,0.02212,0.00293,0.00961,-0.00548,0.01693,0.00209,-0.02435,0.00321,0,0,0.00525,0.00198,0,0.00517,11099277,2179803,5838276,3481345,1670544351,33366694,435401910,460645882,39972456,45113464,54428652,3242759,33417856,2736654666,20216325898,19382041,47596869053,8591500,345513335,4813756797
2019-11-18,-0.04751,-0.03182,-0.07156,-0.05335,-0.0363,-0.03473,-0.00994,-0.05716,-0.02494,-0.03352,-0.04762,-0.04543,-0.05837,-0.0546,0,0.05859,-0.08249,-0.0042,0,-0.03686,11338050,2555709,8151731,3809252,2389421539,43957794,628482057,683331916,42592770,41948951,53826127,4008483,39613020,3495176223,23863526697,31466874,54666888454,11937244,315586026,5578726738
2019-11-19,-0.03262,-0.01249,-0.02333,-0.06483,-0.02919,-0.02505,-0.05849,-0.02508,-0.01732,-0.0259,-0.02099,-0.0071,0.02665,-0.03809,0,-0.00816,-0.01909,-0.01131,0,0.00331,10884975,2553200,8619023,4425209,2115064926,62355718,457985043,722329364,42102116,36357913,53911935,3282097,42821326,4291550379,22875336957,29221847,63311821500,13923202,267833359,5547894219
2019-11-20,-0.02875,-0.02204,-0.0007,-0.03622,-0.03259,-0.01828,-0.00264,-0.016,-0.00997,-0.02062,-0.00595,-0.01212,-0.02057,-0.00379,0,-0.00823,-0.02516,-0.00454,0,-0.02023,11396357,2558216,7390816,4795875,1668760248,61415239,455428821,628229864,40807482,25894936,51550159,3069887,41587183,3350510465,22035582600,27658495,62635994067,10709973,240794987,5194577674
2019-11-21,-0.07601,-0.04909,-0.07496,-0.06085,-0.06969,-0.06086,-0.0477,-0.09113,-0.08452,-0.08054,-0.08312,-0.07317,-0.04335,-0.06007,-0.00995,0,-0.07625,-0.01866,-0.00995,-0.03069,13049403,2873544,10202841,5260934,1686311520,63618983,158824851,857415336,50696235,35385962,59503595,2681111,44607247,3957140245,25875362021,43818204,71862914614,13583168,272224086,6407745941
2019-11-22,-0.07777,-0.04635,-0.08119,-0.03357,-0.0333,-0.08168,-0.06618,-0.07329,-0.07182,-0.09467,-0.06622,-0.05447,-0.13121,-0.036,0,0.00823,-0.06289,-0.00971,0,-0.0512,21064545,4584184,15534822,6251628,2470025042,82333904,174973543,1319457370,77122830,70881403,75828344,2999669,52327160,5026122606,39068899485,57047140,88250177501,19512427,360936425,8466028050
2019-11-23,0.05251,0.01378,0.03946,0.11935,0.03166,0.04167,0.02474,0.03365,0.02075,-0.00355,0.02263,0.01625,0.04436,0.01438,0.00995,0.13045,0.04707,0.0231,0.00995,0.01962,15997566,2859450,11296965,7169626,1562552384,62231831,72350966,755841862,54589867,50510604,57031099,3332014,43796415,4387326081,24482657433,94891027,76714564696,14161346,276694997,6329843275
2019-11-24,-0.07196,-0.04845,-0.05772,-0.08429,-0.07456,-0.08072,-0.01981,-0.10454,-0.07152,-0.14942,-0.08524,-0.07758,-0.10273,-0.05943,0.00985,-0.03663,-0.08593,-0.01579,0,-0.05663,14660179,4213500,10077616,5722289,1704255698,63664140,81710484,1124212758,52541901,49407711,57998842,2994679,41478765,13571487535,25606449026,36048403,83309361113,14577864,203294993,12766982637
2019-11-25,-0.00065,0.01384,0.01974,0.04031,0.01284,0.00881,-0.0861,0.03608,0.02523,0.02045,0.02429,0.04024,-0.00219,0.01247,-0.0198,-0.07756,0.02566,-0.0348,-0.00995,-0.02065,15876291,6014525,11591037,6270189,2699598638,74930300,119283593,1298897677,75785513,82215559,75269982,3140875,48905647,9588002516,33315294573,50351943,92471637800,18122145,291421910,42620825752
2019-11-26,0.01688,0.01006,0.01748,0.03062,0.02588,0,-0.00253,0.03482,0.01686,0.04744,0.03094,0.02983,0.02274,0.0165,0.00995,0,0.07577,0.01003,0.00995,0.01599,13369698,2941906,8569330,4978076,1572581701,62968557,138931229,732825348,51775368,41808694,57130084,3136315,40312002,3770772532,23428319094,44216781,80012435828,12363504,252400662,6001917748
2019-11-27,0.03605,0.04249,0.03453,0.00065,0.05409,-0.02217,0.02236,0.02256,0.02676,0.01533,0.01553,0.07879,0.01593,0.00857,0,0.016,0.04639,-0.0053,0,0.01313,16125300,3253066,9061971,4674054,2021029457,66316153,171880327,844950129,58136932,48437511,62545410,2880766,43572848,4434675742,27145240900,38178617,128089440537,14313652,317249019,7194939400
2019-11-28,-0.02643,-0.00914,-0.00761,-0.01419,0.0036,0.01778,-0.0322,-0.01876,-0.00847,0.01509,-0.01999,-0.0351,-0.01808,-0.01419,-0.00995,0.01575,-0.01692,0.01076,0,-0.00227,12241435,2540901,6336458,3688592,1552765322,64891607,150019097,568480162,48216664,47352082,56010500,2760821,37127603,3822306032,21395814772,34834867,79108999657,11752201,294962463,5533959586
2019-11-29,0.03694,0.03917,0.02737,0.02947,0.05541,0.03037,0.034,0.05884,0.02332,0.04396,0.03794,0.03492,0.04613,0.0158,0,0.02317,0.01964,-0.0077,-0.00995,0.02483,15654099,2589233,6653969,4203460,2468738243,69699328,139015278,698505646,48882146,46676787,61381955,2636491,40040124,4117777691,22304763156,24919092,75064882854,12725133,242038252,5830253609
2019-11-30,-0.03439,-0.025,-0.02659,-0.01694,-0.02439,-0.04368,-0.04118,-0.01439,-0.01793,0,-0.02906,-0.02132,-0.03971,0.00823,0,0.01515,-0.04342,0.00335,-0.00234,-0.01639,13343428,2238385,5900535,3609636,1568393266,53721214,171159583,553219713,42658205,56720801,55593216,2160077,38369535,3842985462,19145198648,21747475,69841249795,9917779,225580817,5080164155
2019-12-01,-0.01409,-0.01939,-0.0126,-0.03199,-0.02095,-0.03175,-0.02772,0.00722,-0.00889,0.00358,0.00483,-0.02178,-0.00964,-0.02649,0,-0.06204,0.0283,0.00668,-0.00121,-0.00505,13021680,2497107,5793899,3561247,1490810253,62049747,200845535,646984489,46770357,55790604,58439199,602257,33579941,3652631516,21027847332,18703540,77682376538,8362902,196553306,5206812024
2019-12-02,-0.0202,-0.01387,-0.00236,-0.03682,-0.03944,-0.03756,-0.02293,-0.03291,-0.01419,0.0623,-0.04042,0.00818,-0.03505,-0.03511,0,-0.00803,-0.04508,-0.00768,0.00235,-0.02586,13086298,2316793,5392756,3841492,1109418080,54691174,160114372,600327367,44433381,54265365,57317482,2107499,36698385,3575608304,19093390526,22147869,69150406001,8398028,237240917,5338172218
2019-12-03,0.00787,-0.00025,-0.01307,-0.04643,-0.00366,0.01896,0.00701,0.00371,-0.00741,-0.01012,-0.00965,-0.01117,0.00223,-0.00175,0,0.03953,0.00026,0.00541,0.00121,0.00132,14421460,2021219,5004232,4155712,904449818,52063516,178195955,516487527,41777522,51471689,56079214,2881486,33776069,2692096093,16691088420,32776462,55562232540,7642461,220247233,4631453768
2019-12-04,-0.00196,-0.00935,-0.01691,-0.00543,-0.0136,-0.03828,0.00734,-0.01869,-0.00821,-0.04153,-0.0042,-0.00714,-0.03049,-0.01007,0.00995,-0.0315,-0.05547,0.00239,0,-0.01615,15534846,2973370,6827217,5144151,1372567749,69455639,55356561,744544541,53380863,51679939,65184499,2575894,37843399,3730540597,24638706403,36258860,68540635331,8123930,266815750,6544033382
2019-12-05,0.03093,0.02671,0.01893,0.00512,0.01238,-0.0098,0.12169,0.01869,0.01689,0.00353,0.00243,0.01793,0.01027,0.00178,0,0.03922,0.01226,0.00884,0.00995,0.02996,16456888,2559952,5672204,4174204,1062109358,61872513,210092767,526353972,45580475,44239890,62300114,2777010,37533839,3435624075,20961831286,25165778,73228700214,8205701,277370619,6484734522
2019-12-06,-0.00318,0.01316,-0.00033,0.0112,0.01171,0.02913,0.00431,0.01471,-0.0004,-0.00353,0.00813,0.00443,-0.00455,-0.00887,-0.00995,0.05972,0.00696,-0.01183,-0.00995,0.01149,15042522,2414684,5249265,3559232,788829107,55048213,197833417,504439136,43283517,33489885,56833655,2198012,33823329,3211193259,18927550995,28889530,69358705465,8577209,302485361,5591482433
2019-12-07,-0.00255,0.00122,-0.00268,-0.00683,0.01142,-0.01446,0.00054,0,-0.00282,0.00353,-0.00066,0.00863,0.02478,0.00073,0.00995,0.04948,-0.00771,-0.00448,0.00995,0.01295,15468018,2046385,4897782,3286018,782397306,42611181,214286784,396451947,39678033,48342085,52137454,2742977,37495265,2933304498,16321095447,35277677,63667418353,8119203,301798069,4729868611
2019-12-08,0,0.00107,0.00801,0.01135,0.00492,0,-0.0038,0.00727,0.0166,-0.00707,0.00677,-0.00881,0.01106,0.01914,0,0.10467,0.01084,-0.00026,0,0.00867,14277067,2038268,4913099,2634270,660266495,50055566,198477621,393243206,42940554,30578541,49490727,2228853,33830946,2864116511,16392870580,43908128,61957973968,7698362,339979516,4871192286
2019-12-09,-0.01414,-0.02184,-0.02126,-0.02063,-0.03834,0.01446,-0.003,-0.03315,-0.02024,-0.01429,-0.02223,0.00129,-0.03356,-0.03042,-0.00995,-0.03155,-0.01951,0.00006,0,-0.02186,13493283,2388469,5511396,3243227,815813976,71179183,160463587,518967926,45037943,31794369,54427389,2426386,32743513,3328376517,19187272016,39780072,64687184410,7576296,286765650,5447224303
2019-12-10,-0.03223,-0.01673,-0.00741,0.0098,-0.02368,0.08262,-0.01557,-0.0189,-0.01331,-0.02182,-0.0067,-0.02423,-0.01953,-0.0156,0.00995,-0.05264,-0.02208,-0.01132,0,-0.00511,12667924,2486410,5601040,3293498,876506877,100350390,113184465,498289662,46584122,29336799,52461387,3068437,35290362,3477375792,19050106946,43631343,64349807002,8590457,334023883,5299300426
2019-12-11,-0.0094,-0.00837,-0.00539,-0.01843,0.00134,-0.04045,-0.0044,-0.01538,-0.01835,0,-0.01558,0.00113,-0.00932,-0.01722,0,0.06538,0.00184,-0.00673,-0.00995,-0.01008,11478148,2255932,5252238,3065325,1277957276,62095532,159550275,540603640,48552367,30509501,56602595,2487123,34875756,3777638924,19431618791,46802168,64914918467,8541558,219083460,4803630079
2019-12-12,0,0.00355,0.00255,-0.01673,0.00185,-0.02791,0.01744,0.00772,0.01376,0.01822,0.00295,0.00451,0.01511,0.00055,0,0.11355,-0.02261,-0.00769,0.00995,-0.00993,11198673,2617752,6151810,4592180,1139473493,66399522,92387782,650529827,54565080,30856341,62269634,2157981,52623898,3927992809,20919798548,64346344,71434109625,7260291,253063672,5827845191
2019-12-13,0.00404,0.00366,0.01614,0.00333,0.01043,-0.01905,-0.00037,0.01147,-0.00454,0.0036,0.00836,-0.01303,0.02731,0.00509,-0.00995,0,0.01688,-0.00404,-0.00995,0.00407,11951261,2360086,5997288,4108179,1152841327,56115715,88844596,490419318,50009019,34913355,62499882,1942636,48610983,3145893918,19491206417,67510489,69618975536,7182790,233674465,5686190171
2019-12-14,-0.02518,-0.02015,-0.01715,-0.00376,-0.01852,-0.03423,0.01139,-0.01919,-0.01438,-0.02182,-0.01656,-0.01977,-0.0045,-0.02517,0.00995,-0.05219,-0.01113,-0.00599,0.00995,-0.01552,11779022,2381077,5963592,3913905,1086586931,51489274,300561118,489342621,48977221,41022618,61739548,1891504,49778292,3415134632,18924299204,48467046,69173514408,8060638,218506729,4925651043
2019-12-15,-0.00138,0.00387,-0.00067,0.00483,0.00619,0.03903,0.02561,-0.00388,0.00168,0.00367,0.00091,-0.01307,0.0101,-0.00534,-0.00995,0,0.00615,-0.0066,0,0.00571,11563471,2364806,6577348,3867980,774198878,55862560,325377565,466701480,50599017,44952145,60999203,2045749,47893981,3581537988,19478078836,40457496,73311054272,7591442,242831225,5372776090
2019-12-16,-0.06633,-0.03122,-0.05049,-0.04239,-0.06725,-0.05407,0.00869,-0.07681,-0.06869,-0.05264,-0.08063,-0.02929,-0.06454,-0.05703,0,-0.00597,-0.03918,-0.00924,-0.00995,-0.05344,12759508,2870228,7978277,4286483,1183316348,47889012,263323628,801825521,64991920,45841698,72415106,2029908,50246550,3765459634,23894286942,41019430,80988262892,7034610,266472193,6980966052
2019-12-17,-0.09023,-0.04303,-0.1055,-0.10078,-0.07477,-0.11778,-0.00983,-0.07411,-0.086,-0.07619,-0.08501,-0.09563,-0.06137,-0.09718,-0.00668,-0.08104,-0.07791,0.01123,-0.00127,-0.12051,14412020,3295337,9464265,5565041,1641253023,92092610,223701494,974296760,70701113,55512378,84801155,2150392,51960760,4825815296,28168616700,57923601,83977818231,9593407,343638548,10536196923
2019-12-18,0.08876,0.0915,0.06714,0.0636,0.08039,0.06596,0.08385,0.10717,0.0821,0.11407,0.09511,0.06441,0.10789,0.04353,0.01663,0.03822,0.06949,0.00119,0.01123,0.06571,18102384,4575094,13462569,7186836,1844186864,115347391,137218371,1156927306,92803929,85166356,98780751,2494800,61248499,5637983767,36096049892,57758678,98838937495,9459586,500328892,11245924623
2019-12-19,-0.00667,-0.01022,-0.01113,-0.00919,-0.03577,-0.03244,0.00255,0.00406,-0.02874,0.01109,-0.02131,-0.00125,-0.01488,-0.02306,0,-0.05789,-0.02253,-0.03333,0,-0.02769,12965190,3578073,10734618,5509639,1295522898,81575383,171544858,796474598,72898892,55291239,78653696,2622800,46438852,4633040769,29735202726,40402305,88962541922,8989825,324779863,8207751201
2019-12-20,0.00888,0.00222,0.00287,0.03436,0.02239,0.05349,0.06014,0.01207,-0.00194,0.0146,0.00923,-0.01707,-0.00231,0.02861,0,0.05789,0.02909,0.00569,0,0.02329,15089645,3138864,7502856,4721348,979430496,66499830,415452567,663135637,63265561,42145481,69289594,2158101,43962434,4302138897,27219822082,37577772,89608430186,8262007,283489895,9144316806
2019-12-21,-0.0141,-0.00384,-0.00229,-0.0367,-0.02206,-0.02639,-0.03736,-0.01613,-0.00731,0.01795,-0.00722,-0.03305,-0.01046,0.00017,0,-0.07796,0.01012,0.00697,0,-0.00634,14310021,2680441,6746040,4482733,751656617,46615708,272947450,516829521,57924298,39265011,66139706,2291886,42280537,3856816956,21922035981,31965532,81626506928,8143684,315492430,6207519058
2019-12-22,0.0338,0.04359,0.04642,0.03115,0.03556,0.03675,0.04473,0.032,0.03256,0.01764,0.04808,0.04152,0.0412,0.02178,-0.00995,-0.00678,0.09209,0.01733,-0.00995,0.01481,14997200,3146967,8059517,4489803,733997933,63032522,227490066,656510471,70027320,47356551,76638599,2574762,46668103,4107719492,26779447001,34209782,92558297468,7966599,302697854,6452201816
2019-12-23,-0.03455,-0.02098,-0.03172,-0.0195,-0.03742,-0.03142,-0.01885,-0.00394,-0.02882,-0.01054,-0.02705,-0.00253,-0.0377,-0.05312,0.00995,0.03345,-0.07445,-0.05184,0,-0.03112,11694663,3744047,9010538,5481375,1079955960,68360947,209441148,839853601,73741265,59343676,76392517,2376817,49250500,4092353747,31829786384,37513997,86040345180,10062185,318337304,7233390747
2019-12-24,0.00522,-0.00451,-0.00537,0.0146,0.02856,-0.0107,0.00029,0.01179,0.00349,0.01054,-0.00417,-0.02416,0.02188,0.0052,0,-0.01325,-0.01529,-0.01706,0.00995,0.00655,13231810,3132766,7973047,4816296,918386806,70466745,204905052,763630316,61798577,39173987,70181130,2234919,47531993,4238118690,27630273172,25041232,86192175571,9282306,227543504,6554124790
2019-12-25,-0.02029,-0.00649,-0.01232,-0.00917,-0.01279,-0.03279,-0.00237,-0.01972,-0.02043,-0.01764,-0.00123,0.00626,-0.0103,-0.0371,-0.00995,-0.06188,-0.0218,0.00787,0,-0.00772,11478250,2953824,8876603,4377754,577080012,47005985,176069362,649541903,65891895,36727604,68217525,1855619,44236444,3634861213,24380958099,27874976,79641980498,7404435,272596414,5955028996
2019-12-26,0.00303,-0.00499,0.00735,0.00929,0.01626,0.03279,0.01193,0.00794,-0.00071,-0.01073,-0.0089,-0.02592,-0.01507,0.0375,0,-0.02878,0.00546,0.01893,0,-0.00171,11953042,3139976,6971747,4441370,832762164,43267951,200210023,729173131,68042182,39508939,70430752,1945158,42486100,3611067109,27081119738,34279981,83134935591,8611652,218702348,6179451444
2019-12-27,0.01129,0.00704,0.07541,0.03311,-0.03506,0.016,0.00668,0.01957,0.0067,0,0.02235,0.00066,0.02538,0.0216,0.00995,0.00727,-0.00839,-0.0182,0,0.00371,12375866,3135421,10294356,5264550,1261440881,39483460,241892773,697682226,65460348,35809221,72431161,2048246,40954314,4088709399,26484863728,27764407,83367835729,8490235,270529245,6034964975
2019-12-28,0.02586,0.00382,0.01503,0.04089,0.01594,-0.01064,-0.04481,0.01919,0.00869,0.00359,0.03952,0.00462,0.00114,-0.0205,-0.00995,-0.0369,0.01604,-0.00891,-0.00995,0.01103,14593713,2925186,9321515,5376194,689882395,28493230,763625767,719041555,63157348,34969504,77615774,2002125,39127161,3464128720,25718920851,32440937,86514958270,7986711,262702474,6082150165
2019-12-29,0.03159,0.0142,0.03124,0.06175,0.0192,0.01592,0.02491,0.02256,0.04897,0.00714,0.01919,0.02771,0.05101,0.02331,0,-0.01515,0.01673,0.00857,0.00995,0.01962,16177644,3045357,8852676,5853578,697810913,28421750,241344568,649903887,73808551,37986614,82621583,1953216,48849669,3253979249,26657374932,34404317,80018098173,7977762,275679818,6029491264
2019-12-30,-0.01424,-0.01762,-0.01686,-0.03426,-0.02033,-0.03209,-0.02747,-0.01498,-0.01593,-0.00714,-0.02129,-0.00707,-0.02518,-0.00569,0.00995,0.01515,-0.02527,-0.00947,0,-0.01316,13329227,3108817,8547114,6189239,646470403,30554091,331734176,651332390,73278370,38521360,77083897,1426447,41974216,3636436693,26969251255,31149205,86996337030,7991285,387534840,6372515727
2019-12-31,-0.0159,-0.01372,-0.02309,0.00103,-0.02255,-0.03879,-0.01049,-0.02677,-0.02303,-0.01444,-0.03354,-0.04239,-0.03727,-0.01601,-0.01027,0.01493,-0.00704,0.00007,-0.00995,-0.00816,12014325,2922417,8277549,5498680,762213429,32633345,315443398,596882347,68157919,33688984,71730855,1354073,40119073,3446183092,24097500204,31819851,79798574178,10111329,265712751,5765892252
2020-01-01,-0.00292,0.00091,-0.00108,0.00124,0.01849,0.02235,0.01175,0.00772,0.00914,0.02514,0.01632,0.02613,0.01824,0.00501,0.00016,0.01471,-0.00422,0.00449,0,-0.00118,12617120,2579681,7120012,4639118,692227320,38951417,335447571,552280505,60944129,38425221,66770449,1680761,38874281,3714413102,21508359231,26207702,73596617337,7449647,242586528,5400618854
2020-01-02,-0.04941,-0.03027,-0.0435,-0.04589,-0.02136,-0.03944,-0.03337,-0.05535,-0.02626,-0.02514,-0.05378,0,-0.04153,-0.0299,0.00016,-0.0997,-0.0291,0.00227,0.00995,-0.02429,11704822,2932837,7162218,4464849,629640502,29706550,306390298,621581798,62218421,45932992,67444456,1784594,37744149,3390886036,24214300550,28870770,76559542726,7328818,316684710,5701722708
2020-01-03,0.04722,0.05017,0.12794,0.10006,0.04271,0.03944,0.05356,0.07062,0.0517,0.03572,0.06325,0.1104,0.04604,0.02512,0,0.03175,0.04296,0.03545,0,0.02872,13014901,3923349,12648727,7133160,901305643,34534112,400361531,851228462,80104330,52407980,79303534,3011703,42709132,3781501533,32420287856,34699487,84354319483,7859343,371081353,6656901820
2020-01-04,0.0167,0.00892,0.0161,0.06654,0.01207,0.01644,0.00066,0.0113,0.00669,0.02426,0.02123,-0.01082,0.02883,0.02269,0.00995,-0.01575,0.00638,0.00047,0,0.0043,13229065,2499979,8302232,6712312,858910389,26908575,283775186,590885646,55199112,44848394,66313537,1219172,39785054,3327732957,21478238129,30044162,73591640154,7455132,331182483,5152840568
2020-01-05,0.01571,0.00009,-0.00853,0.01088,0.00364,-0.01644,-0.00205,0.01117,0.00892,0.00683,0.00506,0.06807,-0.00878,-0.01993,0,0,0.00752,0.00597,0,0.00606,14468050,2661598,7472808,5895546,619746610,30266270,220071075,742583441,55475772,40900696,69455526,980813,44644228,3622269472,23851625887,29070817,79545477011,7516008,331284697,5991749290
2020-01-06,0.0585,0.04716,0.08737,0.06071,0.0709,0.06936,0.05373,0.05757,0.05718,0.03673,0.05081,0.08619,0.07434,0.07974,-0.00995,0.03892,0.06569,0.01703,-0.00995,0.12472,15466144,3066592,9935666,6967818,1055337158,43168629,282358357,845399186,64821064,59464567,74952171,1278717,51612366,5255476604,29313905337,33531847,85512446842,8950234,381586583,11037985119
